Y,PI,R,U
"104503,050071479","0,052405143591022","0,044735301251023","9,4"
"97092,7445846008","0,052823886312037","0,040152960556261","9,1"
"104580,326350656","0,054501192115183","0,035712735105596","8,5"
"104585,674057029","0,055340429036882","0,031691572844244","7,9"
"103733,590774773","0,058385689976392","0,02508171817991","7,6"
"101164,166782679","0,061543165185152","0,019099268990537","7,8"
"97194,0198902007","0,063128346616489","0,014999215040858","8,2"
"103896,358896871","0,065886687801203","0,009644158228753","8,8"
"106753,879902068","0,064933490246532","0,009562362967125","9,1"
"106463,265676852","0,065039601594703","0,007997111551316",9
"106575,050479713","0,066955140446493","0,005825293645462","9,1"
"110290,154109091","0,062705592938989","0,010290025955404",9
"108503,828530041","0,060906370244042","0,012189367183288","8,6"
"103777,405611931","0,058585604593712","0,016164281767479","8,1"
"109733,969494986","0,058375129277161","0,018378370400416","7,7"
"109381,475778409","0,057743891625505","0,020712614669927","7,5"
"110528,144881142","0,059108180800138","0,021826740851488","7,5"
"106410,277855652","0,055852940506185","0,027502728004425","7,8"
"104503,597477418","0,056797540552364","0,029616932434811","8,7"
"105952,843331488","0,061530882776397","0,027233341496933","9,4"
"107049,254668564","0,062797752054698","0,028140359064026","9,6"
"108521,78419762","0,063750743961492","0,029949090839903","9,5"
"105726,628562286","0,06523613299156","0,0307539130611","9,4"
"112009,015138258","0,065023149659961","0,033259370785021","9,4"
"110932,387834121","0,065129396981356","0,034753293096174","9,2"
"110929,728116609","0,067464508763477","0,034481390742293","8,7"
"114090,796018075","0,065872387093849","0,037465657585105","8,1"
"111731,802637695","0,065554342816817","0,039045619660297","7,9"
"113462,506925713","0,06407616596392","0,042260126767354",8
"106786,245141889","0,071378130703006","0,036036734834639","7,9"
"103125,228195438","0,077017522988958","0,030941953596653","8,7"
"110988,308307237","0,08128632014706","0,0296643896428","9,4"
"106692,134904991","0,08171595611414","0,030573561069992","10,2"
"105775,617100907","0,08473089208579","0,028926201658367","10,7"
"105952,802080953","0,088944488180545","0,027406925882911","11,1"
"108668,769855841","0,095586385368728","0,023499542731457","11,4"
"106145,762427745","0,095258529093804","0,026272126898416","11,5"
"103580,454027567","0,094931813812181","0,028629955088916","11,8"
"106269,840471855","0,099293223148219","0,026156722550233","11,9"
"103947,56011662","0,104761799524441","0,023237784360925","11,7"
"105113,282019183","0,106734979956217","0,023444701767944","11,5"
"97245,5768074953","0,107062933822265","0,024366005824703","11,8"
"96856,455979986","0,10356303124547","0,029453500659595","12,3"
"101690,175025516","0,093869277812698","0,039831513966394","13,4"
"99527,3330140066","0,092783120253555","0,041938187047757","14,2"
"99119,772551173","0,093217022624115","0,0427997277096",15
"101919,823312639","0,088444570099513","0,048360684449081","14,7"
"101536,457848456","0,087362832303747","0,048685525492651","14,2"
"101380,080170686","0,089749779251531","0,047488168145486","13,9"
"97195,030145823","0,084763854261917","0,052302762042281","14,4"
"99764,7787053021","0,078738583895059","0,057551184001635","14,3"
"102692,529539858","0,069874580087189","0,066127556389996",14
"106578,019535867","0,062880550542245","0,0727317611902","13,5"
"98759,0136610849","0,05353954442017","0,082566858979058","14,1"
"96367,2932903829","0,04758793351512","0,087232584076509","14,8"
"102429,871303587","0,045710348848858","0,088000198306542","15,2"
"100058,313193406","0,040825308952635","0,090193754067092","15,5"
"105120,818110717","0,035971291337952","0,093332159802525","15,9"
"107672,061428959","0,029983614716368","0,095848448817899","15,6"
"108061,520360266","0,027114579577882","0,095528842794725","15,1"
"107526,943025283","0,024558041894743","0,093781935568855","14,5"
"101600,538276043","0,025377033135267","0,08782248990588","14,5"
"105478,745088331","0,027013381881543","0,081737127221978","14,8"
"107882,774854661","0,028038549960881","0,075630442734887","14,1"
"111112,852717847","0,029473499083459","0,067918228503304","13,7"
